customer_id,device_identifier,device_name,device_type,device_model,operating_system,os_version,app_version,device_status,is_trusted,last_ip_address,last_login_city,last_login,registered_at,registered_from,failed_login_attempts,blocked_at
119,DEV-059FD4201F2A40B49CFD7794BCA69367,Samsung Galaxy M35,Android,Samsung Galaxy M35,Android,14,5.3.1,Active,1,10.163.85.83,Guntur,2026-01-10 14:49:00,2025-05-31,Mobile App,0,
909,DEV-E126F6951BBD46F6BFED4682647926F7,iPhone 13,iPhone,iPhone 13,iOS,16,5.4.0,Active,1,10.146.172.201,Raichur,2026-06-21 23:32:00,2026-04-09,Mobile App,0,
343,DEV-9C8F42CFD6E448748AD2A36AA7043C37,OnePlus 12,Android,OnePlus 12,Android,13,5.5.2,Active,1,10.195.90.122,Salem,2026-04-16 20:05:00,2025-06-23,Branch,0,
849,DEV-ED19F6E8C07F4831BE717F8E33B056A0,Microsoft Edge,Web,Microsoft Edge,Windows 11,12,5.1.0,Inactive,1,10.112.22.48,Loni,2024-06-10 15:16:00,2021-12-29,Internet Banking,0,
687,DEV-D0258DAB2D254DD1A18A05C3052CF507,iPhone 14,iPhone,iPhone 14,iOS,18,5.5.2,Active,1,10.174.4.151,Bhavnagar,2025-02-22 18:30:00,2022-07-29,Internet Banking,2,
596,DEV-9B8BFCBD15434440A0544F6A9EAEB3AF,Samsung Galaxy S24,Android,Samsung Galaxy S24,Android,15,5.5.2,Active,1,10.180.148.42,Dehri,2024-10-15 23:19:00,2024-02-17,Mobile App,3,
273,DEV-F53C4B63373F48B09AA4A3F364661CAA,Vivo V30,Android,Vivo V30,Android,14,5.2.0,Active,1,192.168.87.93,Vijayanagaram,2024-06-12 11:56:00,2020-05-05,Mobile App,0,
471,DEV-26F61819CF044812B3734A2EDF88795A,iPhone 13,iPhone,iPhone 13,iOS,16,5.5.2,Active,1,192.168.179.41,Medininagar,2021-11-21 20:28:00,2021-09-04,Mobile App,0,
172,DEV-E43F0D9C8ED141D1B85038A08E536E3C,iPhone 13,iPhone,iPhone 13,iOS,17,5.3.1,Active,1,172.24.152.41,Haldia,2026-01-09 21:15:00,2025-11-15,Mobile App,0,
211,DEV-7C50EA41B8124B50856BB4582BF81C2E,Google Pixel 8a,Android,Google Pixel 8a,Android,15,5.4.0,Active,0,192.168.93.168,Bhusawal,2025-06-24 04:40:00,2024-04-03,Internet Banking,0,
82,DEV-4122F58099D54D92AA8CAD77A3567309,Samsung Galaxy S24,Android,Samsung Galaxy S24,Android,15,5.3.1,Active,1,10.43.98.166,Bihar Sharif,2024-04-29 01:54:00,2021-06-06,Internet Banking,0,
156,DEV-73C9D485E66B4A499942B1F1BF649F76,Samsung Galaxy S24,Android,Samsung Galaxy S24,Android,15,6.0.0,Active,0,192.168.52.169,Guwahati,2026-03-15 03:56:00,2023-08-27,Mobile App,0,
879,DEV-323E86EA24F14557AF6ABA948A89B323,Microsoft Edge,Web,Microsoft Edge,Windows 10,14,5.5.2,Active,1,10.217.202.22,Thiruvananthapuram,2021-10-15 17:38:00,2020-03-13,Internet Banking,0,
200,DEV-6BED30EBFA5C4C30BCA41B4DEBB23EEA,OnePlus 12,Android,OnePlus 12,Android,13,5.4.0,Active,1,172.27.69.36,Ichalkaranji,2025-02-13 08:20:00,2020-12-06,Mobile App,1,
446,DEV-9C5137907DC64CC48C6CDCB55B3A7ED9,OnePlus 12,Android,OnePlus 12,Android,14,5.5.2,Active,1,192.168.178.85,Ujjain,2025-12-05 13:13:00,2025-10-02,Mobile App,0,
394,DEV-5C6ECFDEEC4A428983E795F05770F92D,iPhone 15 Pro,iPhone,iPhone 15 Pro,iOS,16,5.1.0,Active,1,172.20.141.186,Jalgaon,2025-04-03 08:22:00,2021-08-29,Mobile App,0,
420,DEV-F9EA5E47B0EC49DE9CB2E3B998AFF964,Samsung Galaxy S24,Android,Samsung Galaxy S24,Android,13,5.5.2,Active,1,172.28.21.71,Uluberia,2025-12-26 15:18:00,2025-06-28,Mobile App,0,
654,DEV-FF4DDED10A184C15A72F74FC1930A3D7,iPhone 13,iPhone,iPhone 13,iOS,16,5.5.2,Active,1,192.168.9.68,Uluberia,2026-03-14 09:35:00,2020-04-25,Mobile App,0,
167,DEV-B81CFE0648BC40D6907027916D09E6B4,Google Pixel 8a,Android,Google Pixel 8a,Android,12,5.1.0,Active,1,192.168.246.77,Rampur,2024-12-09 23:27:00,2022-09-16,Branch,0,
162,DEV-ED0AE6282CD5422491CACBB52D50474A,Samsung Galaxy M35,Android,Samsung Galaxy M35,Android,13,5.2.0,Active,1,172.27.224.2,Bulandshahr,2026-06-28 00:40:00,2026-06-03,Mobile App,0,
572,DEV-DE925258E87B4C1AB76FAA38A1D647B9,Google Pixel 8,Android,Google Pixel 8,Android,14,6.0.0,Inactive,1,192.168.185.3,Howrah,2025-10-10 21:32:00,2023-07-29,Internet Banking,0,
825,DEV-A487A37DB3EB4DB7AB97059994B75453,Redmi Note 13,Android,Redmi Note 13,Android,12,5.2.0,Active,1,172.16.56.146,Dindigul,2026-05-16 01:11:00,2024-10-22,Mobile App,0,
895,DEV-240456D6DC924C95821B78C6F9BCA005,Vivo V30,Android,Vivo V30,Android,13,5.2.0,Active,0,10.107.102.244,Kolhapur,2026-06-30 21:56:00,2026-02-12,Mobile App,0,
134,DEV-D443FBA361E441F9BD748C58732D60DD,Microsoft Edge,Web,Microsoft Edge,Windows 11,13,6.0.0,Active,1,172.27.29.33,Singrauli,2024-07-02 02:47:00,2024-06-07,Mobile App,0,
184,DEV-FBFBF87709C744B4B22A989660866CA1,iPhone 16 Pro,iPhone,iPhone 16 Pro,iOS,16,5.5.2,Blocked,0,172.25.157.10,North Dumdum,2026-04-17 08:00:00,2022-01-26,Branch,10,2026-04-17 08:41:00
537,DEV-22329DE4D51647E28B4A046079B4D2E0,Samsung Galaxy S24,Android,Samsung Galaxy S24,Android,13,5.5.2,Active,1,10.66.220.81,Ranchi,2023-11-28 02:50:00,2020-12-06,Internet Banking,0,
770,DEV-BB45761939534ECE8AD141C7CC0254D5,OnePlus Nord CE 4,Android,OnePlus Nord CE 4,Android,13,5.5.2,Active,0,10.185.61.94,Chandrapur,2025-11-17 04:20:00,2022-04-03,Mobile App,0,
679,DEV-BA1C5D09DCA0450187250E0EC1F27B2D,iPhone 16 Pro,iPhone,iPhone 16 Pro,iOS,17,5.1.0,Active,1,10.25.207.133,Ramgarh,2025-07-14 20:44:00,2021-09-04,Mobile App,2,
683,DEV-C663536B58B64534A3D857664567FB0F,Samsung Galaxy A55,Android,Samsung Galaxy A55,Android,12,5.1.0,Active,1,10.11.211.61,Bokaro,2026-04-18 11:30:00,2023-10-11,Mobile App,2,
925,DEV-F2CE9EF2510C44BAAA91C673C12F9F47,iPhone 15,iPhone,iPhone 15,iOS,17,5.1.0,Active,1,192.168.151.6,Naihati,2023-12-03 12:52:00,2022-11-02,Mobile App,0,
689,DEV-045F26784834433AA62227163FF49555,Chrome Browser,Web,Chrome Browser,Ubuntu,12,5.3.1,Active,1,10.198.158.125,Pallavaram,2024-11-11 15:57:00,2023-07-29,Branch,0,
619,DEV-DAB7D0BE900D4041BF793386D71215C8,Google Pixel 8,Android,Google Pixel 8,Android,15,5.4.0,Active,1,10.149.235.26,Kottayam,2024-08-12 20:07:00,2021-09-06,Branch,0,
746,DEV-B8C0A1101CED4BB7A70DA1A955779605,iPhone 16 Pro,iPhone,iPhone 16 Pro,iOS,17,5.2.0,Active,1,172.17.239.218,Bijapur,2026-07-18 15:34:00,2025-09-09,Mobile App,2,
224,DEV-F298D815B7FB47B8926957830A96CA04,iPhone 15,iPhone,iPhone 15,iOS,18,5.5.2,Active,1,192.168.94.83,Kadapa,2023-03-15 20:26:00,2021-12-07,Mobile App,0,
795,DEV-4FC64BBE9A6B4BCE8D65F69D2062420E,iPhone 16 Pro,iPhone,iPhone 16 Pro,iOS,17,6.0.0,Active,1,10.132.196.13,Patiala,2024-09-08 14:13:00,2022-10-23,Internet Banking,2,
72,DEV-26973DD8B03D40FEA28FE997CF065824,iPhone 13,iPhone,iPhone 13,iOS,17,5.1.0,Active,1,10.125.115.81,Sirsa,2025-11-12 07:57:00,2025-10-09,Mobile App,0,
630,DEV-D0D858801E93495AB47785AD1F3A175A,iPhone 15 Pro,iPhone,iPhone 15 Pro,iOS,16,5.5.2,Active,1,172.29.172.182,Panihati,2026-05-16 03:57:00,2025-02-08,Mobile App,0,
634,DEV-D64E2A8505414D91B06A3B3C638DC73D,Microsoft Edge,Web,Microsoft Edge,Ubuntu,10,5.4.0,Active,1,192.168.22.76,Dehradun,2024-06-15 04:48:00,2024-03-18,Mobile App,0,
562,DEV-A09C88BA314E4A48B8A13974A32D825B,Samsung Galaxy A55,Android,Samsung Galaxy A55,Android,13,5.2.0,Active,1,172.20.125.241,Katihar,2025-07-06 15:16:00,2025-06-03,Internet Banking,0,
766,DEV-746B21F4095D43AEBBC0708069B16B14,iPhone 12,iPhone,iPhone 12,iOS,17,6.0.0,Active,1,172.23.237.4,Tirupati,2026-04-19 17:57:00,2025-08-04,Mobile App,0,
