customer_id,account_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_end_date,loan_status,approved_by,approved_date,created_at,outstanding_balance,paid_emi_count,next_emi_date,rejection_reason
585,230,Education Loan,1767000,9.05,72,31894.99,2024-12-08,2030-12-08,Pending,,,2024-12-08,1767000,0,,
288,271,Home Loan,4800000,7.26,204,41025.75,2021-10-19,2038-10-19,Defaulted,58,2021-10-09,2021-10-19,5989759.50,58,2026-09-19,
455,783,Education Loan,1398000,7.9,168,13779.37,2024-11-24,2038-11-24,Active,96,2024-11-01,2024-11-24,2025567.39,21,2026-09-24,
6,951,Home Loan,5593000,8.72,204,52667.0,2023-06-29,2040-06-29,Closed,31,2023-06-12,2023-06-29,0.00,204,,
767,3,Car Loan,1800000,9.73,72,33101.95,2025-09-01,2031-09-01,Approved,98,2025-08-28,2025-09-01,2019218.95,11,2026-09-01,
547,121,Car Loan,316000,10.57,84,5339.51,2023-11-11,2030-11-11,Defaulted,84,2023-10-19,2023-11-11,272315.01,33,2026-09-11,
489,930,Home Loan,7282000,7.65,168,70748.32,2026-01-27,2040-01-27,Active,84,2026-01-22,2026-01-27,11390479.52,7,2026-09-27,
990,147,Personal Loan,374000,13.78,60,8659.73,2025-04-12,2030-04-12,Active,18,2025-03-22,2025-04-12,381028.12,16,2026-09-12,
93,668,Home Loan,5016000,7.82,204,44520.16,2023-11-07,2040-11-07,Active,60,2023-10-14,2023-11-07,7612947.36,33,2026-09-07,
25,1344,Gold Loan,959000,12.3,12,85340.64,2022-12-30,2023-12-30,Active,68,2022-12-11,2022-12-30,0.00,12,2024-01-30,
304,816,Gold Loan,367000,10.71,48,9433.7,2025-10-15,2029-10-15,Closed,34,2025-09-25,2025-10-15,0.00,48,,
402,329,Business Loan,4800000,12.48,48,127536.61,2022-12-20,2026-12-20,Active,44,2022-12-02,2022-12-20,510146.44,44,2026-09-20,
370,961,Home Loan,2787000,7.2,204,23723.49,2024-12-15,2041-12-15,Rejected,,,2024-12-15,0.00,0,,High existing liabilities
516,245,Gold Loan,643000,12.88,36,21628.06,2022-06-08,2025-06-08,Active,34,2022-06-01,2022-06-08,0.00,36,2025-07-08,
974,866,Education Loan,488000,7.92,72,8537.17,2024-01-17,2030-01-17,Approved,74,2024-01-08,2024-01-17,350023.97,31,2026-09-17,
804,142,Education Loan,1137000,9.17,84,18391.53,2023-04-10,2030-04-10,Closed,77,2023-03-25,2023-04-10,0.00,84,,
722,1100,Education Loan,1754000,6.71,72,29660.31,2022-02-03,2028-02-03,Pending,,,2022-02-03,1754000,0,,
592,1107,Education Loan,1936000,8.88,108,26096.1,2025-03-14,2034-03-14,Active,34,2025-03-06,2025-03-14,2374745.10,17,2026-09-14,
120,789,Education Loan,1656000,10.33,180,18131.27,2024-09-11,2039-09-11,Closed,65,2024-08-12,2024-09-11,0.00,180,,
78,772,Education Loan,1494000,8.61,132,17549.22,2024-11-27,2035-11-27,Approved,8,2024-11-20,2024-11-27,1947963.42,21,2026-09-27,
201,1113,Education Loan,226000,7.69,168,2200.79,2025-04-03,2039-04-03,Active,47,2025-03-28,2025-04-03,334520.08,16,2026-09-03,
872,82,Personal Loan,1180000,14.82,48,32732.72,2022-10-04,2026-10-04,Active,29,2022-09-20,2022-10-04,65465.44,46,2026-09-04,
511,1497,Home Loan,3867000,9.49,228,36666.74,2022-02-16,2041-02-16,Pending,,,2022-02-16,3867000,0,,
751,869,Education Loan,828000,9.64,120,10777.69,2026-04-02,2036-04-02,Active,26,2026-04-01,2026-04-02,1250212.04,4,2026-09-02,
328,1486,Education Loan,1483000,6.73,168,13652.52,2025-07-28,2039-07-28,Pending,,,2025-07-28,1483000,0,,
399,1484,Business Loan,2670000,10.64,48,68541.69,2023-07-15,2027-07-15,Active,38,2023-07-06,2023-07-15,753958.59,37,2026-09-15,
578,1070,Home Loan,1044000,8.32,168,10539.95,2022-03-28,2036-03-28,Rejected,,,2022-03-28,0.00,0,,High existing liabilities
963,793,Education Loan,1917000,7.32,108,24286.41,2021-08-24,2030-08-24,Pending,,,2021-08-24,1917000,0,,
18,1186,Personal Loan,429000,17.22,60,10712.57,2022-07-16,2027-07-16,Active,77,2022-07-12,2022-07-16,117838.27,49,2026-09-16,
344,1418,Personal Loan,645000,14.39,48,17752.02,2023-10-15,2027-10-15,Defaulted,61,2023-09-20,2023-10-15,248528.28,34,2026-09-15,
730,767,Home Loan,5748000,7.3,168,54720.62,2024-06-11,2038-06-11,Closed,11,2024-05-21,2024-06-11,0.00,168,,
958,904,Personal Loan,851000,11.65,12,75471.05,2025-03-11,2026-03-11,Active,79,2025-03-10,2025-03-11,0.00,12,2026-04-11,
632,38,Personal Loan,1206000,13.35,48,32563.85,2023-12-28,2027-12-28,Closed,3,2023-12-22,2023-12-28,0.00,48,,
604,855,Home Loan,7561000,8.79,192,73481.59,2022-12-29,2038-12-29,Closed,99,2022-12-18,2022-12-29,0.00,192,,
159,718,Education Loan,238000,6.64,108,2933.28,2024-12-06,2033-12-06,Active,87,2024-11-26,2024-12-06,258128.64,20,2026-09-06,
188,1402,Home Loan,5034000,9.27,180,51869.88,2024-05-28,2039-05-28,Closed,25,2024-04-29,2024-05-28,0.00,180,,
729,670,Personal Loan,1147000,17.55,36,41208.33,2025-01-30,2028-01-30,Active,70,2025-01-11,2025-01-30,700541.61,19,2026-09-30,
917,659,Education Loan,1616000,10.48,84,27230.0,2022-03-23,2029-03-23,Closed,94,2022-03-21,2022-03-23,0.00,84,,
39,1425,Personal Loan,751000,15.97,48,21272.01,2022-05-16,2026-05-16,Active,6,2022-05-14,2022-05-16,0.00,48,2026-06-16,
692,340,Home Loan,2702000,9.13,180,27614.83,2025-02-19,2040-02-19,Active,68,2025-02-18,2025-02-19,4473602.46,18,2026-09-19,
777,1147,Home Loan,1007000,7.81,228,8487.79,2024-04-03,2043-04-03,Defaulted,73,2024-03-25,2024-04-03,1697558.00,28,2026-09-03,
928,779,Car Loan,1932000,9.47,72,35277.71,2024-04-05,2030-04-05,Pending,,,2024-04-05,1932000,0,,
398,400,Gold Loan,452000,11.43,12,40039.23,2025-09-08,2026-09-08,Approved,9,2025-08-29,2025-09-08,40039.23,11,2026-09-08,
18,1186,Home Loan,2206000,8.55,240,19214.05,2026-01-29,2046-01-29,Approved,56,2026-01-19,2026-01-29,4476873.65,7,2026-09-29,
107,1297,Business Loan,976000,9.89,84,16147.34,2025-10-29,2032-10-29,Closed,60,2025-10-12,2025-10-29,0.00,84,,
661,40,Gold Loan,349000,13.5,36,11843.42,2025-08-20,2028-08-20,Pending,,,2025-08-20,349000,0,,
417,1030,Personal Loan,1073000,16.25,60,26236.02,2023-10-28,2028-10-28,Active,78,2023-10-16,2023-10-28,682136.52,34,2026-09-28,
621,320,Education Loan,1457000,6.7,72,24631.05,2025-03-29,2031-03-29,Active,36,2025-03-27,2025-03-29,1354707.75,17,2026-09-29,
821,178,Home Loan,4664000,7.88,240,38663.97,2024-01-13,2044-01-13,Active,31,2023-12-28,2024-01-13,8080769.73,31,2026-09-13,
983,1335,Education Loan,113000,7.97,120,1369.21,2023-05-03,2033-05-03,Active,56,2023-04-29,2023-05-03,110906.01,39,2026-09-03,
184,98,Personal Loan,464000,15.6,48,13055.03,2022-12-18,2026-12-18,Pending,,,2022-12-18,464000,0,,
155,1450,Personal Loan,625000,12.42,72,12355.81,2024-04-13,2030-04-13,Approved,75,2024-04-02,2024-04-13,543655.64,28,2026-09-13,
17,884,Business Loan,3558000,11.03,24,165880.25,2024-09-17,2026-09-17,Closed,70,2024-09-08,2024-09-17,0.00,24,,
483,1470,Car Loan,553000,9.9,36,17817.8,2025-10-03,2028-10-03,Active,21,2025-09-04,2025-10-03,463262.80,10,2026-09-03,
612,1014,Car Loan,1493000,10.09,36,48238.02,2025-03-06,2028-03-06,Approved,83,2025-02-10,2025-03-06,916522.38,17,2026-09-06,
674,355,Gold Loan,185000,12.76,36,6212.02,2022-07-22,2025-07-22,Pending,,,2022-07-22,185000,0,,
882,1074,Gold Loan,897000,10.39,36,29108.19,2023-01-21,2026-01-21,Active,43,2023-01-03,2023-01-21,0.00,36,2026-02-21,
459,602,Home Loan,6148000,8.93,204,58682.91,2021-10-05,2038-10-05,Defaulted,43,2021-09-09,2021-10-05,8567704.86,58,2026-09-05,
472,1181,Education Loan,201000,7.12,72,3438.44,2024-05-17,2030-05-17,Closed,15,2024-05-16,2024-05-17,0.00,72,,
61,223,Personal Loan,335000,13.92,12,30066.08,2025-05-10,2026-05-10,Pending,,,2025-05-10,335000,0,,
507,531,Home Loan,1793000,9.45,132,21893.8,2026-07-13,2037-07-13,Closed,67,2026-06-16,2026-07-13,0.00,132,,
492,1038,Personal Loan,941000,13.92,48,25676.47,2023-02-25,2027-02-25,Defaulted,10,2023-01-31,2023-02-25,154058.82,42,2026-09-25,
390,16,Gold Loan,727000,10.78,36,23725.38,2025-04-05,2028-04-05,Active,91,2025-03-18,2025-04-05,474507.60,16,2026-09-05,
822,744,Business Loan,4751000,15.73,48,133988.61,2023-07-13,2027-07-13,Defaulted,84,2023-06-24,2023-07-13,1473874.71,37,2026-09-13,
175,1206,Personal Loan,603000,12.55,72,11961.94,2023-03-22,2029-03-22,Active,36,2023-03-14,2023-03-22,370820.14,41,2026-09-22,
8,1064,Personal Loan,1307000,14.15,24,62845.49,2025-03-28,2027-03-28,Closed,24,2025-03-26,2025-03-28,0.00,24,,
758,787,Personal Loan,911000,14.54,84,17345.06,2023-01-16,2030-01-16,Active,68,2023-01-13,2023-01-16,711147.46,43,2026-09-16,
565,506,Home Loan,7718000,9.44,168,82954.21,2022-05-12,2036-05-12,Pending,,,2022-05-12,7718000,0,,
146,475,Education Loan,481000,7.75,72,8374.89,2025-08-01,2031-08-01,Closed,67,2025-07-23,2025-08-01,0.00,72,,
987,210,Gold Loan,263000,12.82,12,23468.24,2023-08-12,2024-08-12,Active,81,2023-07-30,2023-08-12,0.00,12,2024-09-12,
184,693,Gold Loan,235000,10.46,24,10894.02,2022-08-15,2024-08-15,Pending,,,2022-08-15,235000,0,,
643,889,Home Loan,7091000,7.69,228,59250.77,2025-04-12,2044-04-12,Active,75,2025-03-22,2025-04-12,12561163.24,16,2026-09-12,
179,135,Gold Loan,620000,8.14,36,19468.61,2022-07-07,2025-07-07,Active,41,2022-06-13,2022-07-07,0.00,36,2025-08-07,
691,84,Business Loan,4373000,11.52,72,84405.37,2025-04-05,2031-04-05,Active,37,2025-03-31,2025-04-05,4726700.72,16,2026-09-05,
148,1213,Home Loan,1272000,8.49,156,13491.0,2025-06-29,2038-06-29,Pending,,,2025-06-29,1272000,0,,
880,1208,Education Loan,1053000,9.79,96,15861.63,2021-09-24,2029-09-24,Closed,99,2021-09-20,2021-09-24,0.00,96,,
288,843,Personal Loan,1002000,13.94,84,18744.3,2023-11-20,2030-11-20,Active,74,2023-10-27,2023-11-20,955959.30,33,2026-09-20,
447,1033,Car Loan,1099000,10.46,48,28116.89,2022-10-29,2026-10-29,Active,48,2022-10-10,2022-10-29,56233.78,46,2026-09-29,
629,1112,Personal Loan,574000,12.48,72,11365.6,2024-08-15,2030-08-15,Active,94,2024-08-11,2024-08-15,545548.80,24,2026-09-15,
497,80,Gold Loan,488000,11.25,48,12671.94,2026-02-09,2030-02-09,Active,81,2026-01-27,2026-02-09,532221.48,6,2026-09-09,
986,1480,Business Loan,2740000,11.22,60,59875.3,2023-09-08,2028-09-08,Active,99,2023-09-02,2023-09-08,1496882.50,35,2026-09-08,
552,833,Gold Loan,767000,12.98,60,17443.76,2026-05-04,2031-05-04,Pending,,,2026-05-04,767000,0,,
651,596,Home Loan,2595000,7.19,132,28503.39,2024-01-12,2035-01-12,Pending,,,2024-01-12,2595000,0,,
146,475,Home Loan,4566000,7.67,120,54605.21,2025-02-13,2035-02-13,Defaulted,33,2025-01-31,2025-02-13,5569731.42,18,2026-09-13,
917,1415,Personal Loan,96000,10.23,60,2050.6,2025-10-21,2030-10-21,Closed,79,2025-09-25,2025-10-21,0.00,60,,
