customer_id,device_id,login_time,logout_time,login_status,login_method,ip_address,location,failed_attempts,session_id,login_city,login_state,login_country,logout_reason,is_suspicious
983,1672.0,2026-04-10 14:01:08,,Failed,Password,169.83.136.15,Panvel,3,SES_1729068FD3E44E5DB3A1453740DD8F99,Kharagpur,Gujarat,India,,0
692,671.0,2025-02-19 11:38:10,2025-02-19 20:23:10,Success,Fingerprint,144.143.75.179,Kochi,0,SES_C9A856EA4A804733B5E08BE9D4D7F685,Guna,Chhattisgarh,India,Session Timeout,0
477,,2026-06-15 04:35:18,2026-06-15 14:22:18,Success,Password,221.211.88.64,Dehradun,0,SES_E513D957F7114201BD4159EE698907F0,Hosur,Andhra Pradesh,India,Session Timeout,0
126,517.0,2025-03-20 15:08:38,2025-03-20 23:58:38,Success,Password,62.91.132.231,Dharmavaram,0,SES_E4E9904F7C384E648916312E3B5CFA13,Ratlam,West Bengal,India,User Logout,0
190,849.0,2025-01-17 04:10:15,2025-01-17 12:16:15,Success,OTP,160.113.7.74,Kirari Suleman Nagar,0,SES_F9E3D419B81F4E1CBAD3BCD317CD364D,Pudukkottai,Himachal Pradesh,India,User Logout,0
793,373.0,2025-04-15 19:24:53,2025-04-16 07:07:53,Success,Password,66.175.179.120,Gorakhpur,0,SES_FE25346C61014E72AE4B35D8720B347B,Sonipat,Andhra Pradesh,India,User Logout,0
971,1933.0,2026-06-20 03:05:57,2026-06-20 10:55:57,Success,OTP,44.95.61.83,Ujjain,1,SES_BB72A345E9544EE387D6CB1ECB2EC12E,Jehanabad,Madhya Pradesh,India,Session Timeout,0
554,819.0,2025-05-16 22:30:28,2025-05-17 00:19:28,Success,Face ID,38.69.51.219,Bikaner,0,SES_63F4651171AB40BE8A720B61EDD66DA4,Delhi,Karnataka,India,User Logout,0
651,1081.0,2026-01-10 14:23:31,2026-01-10 14:44:31,Success,Password,9.141.31.252,Chennai,0,SES_0A2739E5EB3D467682A262C25B8D7ED4,Guna,Uttar Pradesh,India,Session Timeout,0
77,675.0,2025-04-17 17:02:55,2025-04-18 02:40:55,Success,Password,15.60.97.192,Ongole,0,SES_E85ECBFA73714BF89D32D5E223E6A01F,Raiganj,Manipur,India,User Logout,0
882,1865.0,2026-01-31 16:45:24,2026-02-01 03:48:24,Success,Fingerprint,202.252.177.112,Maheshtala,0,SES_31F1ABC5DE374F8290BF43BB8AD33EF6,Bijapur,Bihar,India,User Logout,0
141,909.0,2026-05-16 13:07:40,2026-05-16 16:18:40,Success,OTP,139.7.147.194,Imphal,0,SES_CD3C8F4DDB5E458D889DA27E509AB0EA,Raichur,Tamil Nadu,India,User Logout,0
828,1543.0,2025-05-08 11:23:54,2025-05-08 22:07:54,Success,Fingerprint,191.26.37.106,Mysore,0,SES_4C5E563A9D7D4466A693BDF1B4540D61,Bhopal,Rajasthan,India,Forced Logout,0
36,1294.0,2025-03-31 21:56:31,2025-04-01 09:08:31,Success,OTP,24.123.163.213,Kharagpur,0,SES_765D5297B8074632BBF1CBDC38B21BC6,Barasat,Kerala,India,User Logout,0
412,988.0,2026-05-07 00:34:36,2026-05-07 08:31:36,Success,Password,144.244.92.194,Ludhiana,0,SES_11F8071E7598461B80C051E9D915ED2A,Kollam,Uttar Pradesh,India,User Logout,0
204,705.0,2026-04-15 07:35:45,2026-04-15 10:55:45,Success,Fingerprint,3.156.175.184,Mira-Bhayandar,0,SES_58B1256337FA482F8172D4950F2034AD,Udaipur,Karnataka,India,Session Timeout,0
51,1810.0,2025-03-05 15:43:42,2025-03-05 23:04:42,Success,Password,77.189.138.162,Bhilai,0,SES_2942C3F311D2425ABC29199AC90E6529,Amroha,Maharashtra,India,User Logout,0
425,687.0,2025-01-26 04:41:27,2025-01-26 08:51:27,Success,OTP,214.94.239.196,Bhagalpur,0,SES_0C3323C20DF7455497346AE7F51E8C4B,South Dumdum,West Bengal,India,Session Timeout,0
907,887.0,2025-08-31 04:48:59,2025-08-31 16:17:59,Success,Password,178.43.82.102,Agartala,0,SES_F2747BA049244147B58DDBF5BC14B996,Kolhapur,Goa,India,Forced Logout,0
754,966.0,2026-04-07 22:58:59,2026-04-08 01:41:59,Success,Face ID,97.207.192.0,Bahraich,0,SES_97B366C2A1134DAEA2D73D812CAB50D7,Jaunpur,Andhra Pradesh,India,Session Timeout,0
348,718.0,2025-04-15 14:46:32,2025-04-15 15:33:32,Success,Fingerprint,73.129.189.107,Bahraich,0,SES_474DA1F378E9490CB729DC3840F9042C,Solapur,West Bengal,India,Session Timeout,0
606,1948.0,2025-07-30 12:37:29,,Failed,Password,128.154.4.152,Panchkula,2,SES_FB7FC8BC90D1461E93A9374AD9A5971E,Kota,Chhattisgarh,India,,0
887,779.0,2026-07-29 12:00:54,2026-07-29 23:58:54,Success,Face ID,113.62.223.81,Bhatpara,0,SES_215F462ADDEA4A9C9A3850B28573971E,Mangalore,Sikkim,India,Session Timeout,0
519,1164.0,2026-05-09 09:46:12,2026-05-09 18:41:12,Success,OTP,91.3.15.57,Barasat,0,SES_663C7199924C4A91A3004AAFC0F65355,Asansol,Nagaland,India,Session Timeout,0
954,1240.0,2026-05-05 02:11:54,2026-05-05 05:58:54,Success,OTP,56.39.16.63,Kolhapur,0,SES_8DCF0D6B6B4048DD981C23DEDB84707B,Malegaon,Tripura,India,Session Timeout,0
1,1759.0,2025-02-03 17:51:22,2025-02-04 01:12:22,Success,Password,23.34.9.40,Noida,0,SES_65A418D0C65C4D51B9EE144A2153BD01,Guwahati,Haryana,India,User Logout,0
669,1959.0,2025-10-16 09:39:28,2025-10-16 20:02:28,Success,OTP,182.120.142.240,Begusarai,0,SES_E5B90E33E0074C8F84898981A8B152E3,Kalyan-Dombivli,Sikkim,India,Session Timeout,0
512,1541.0,2025-04-03 04:36:34,2025-04-03 06:06:34,Success,OTP,210.28.76.60,Katni,0,SES_AD3A155462F9485192B0C9609051E7BD,Bhalswa Jahangir Pur,West Bengal,India,Session Timeout,1
597,,2025-10-04 11:55:49,2025-10-04 21:33:49,Success,OTP,170.138.33.106,Bhind,0,SES_DAB962959C254F9CBA5A05DD8A82CB90,Vasai-Virar,Odisha,India,Session Timeout,0
471,1160.0,2025-08-14 23:04:02,2025-08-15 07:13:02,Success,Password,22.248.190.194,Kavali,0,SES_F5E01C40717D44C5AF6D64B3BA3635F6,Agra,Sikkim,India,User Logout,0
846,1771.0,2026-03-07 00:58:20,2026-03-07 05:55:20,Success,Password,33.80.240.101,Meerut,2,SES_EE725315AB324261A31CD3247E6C7D1B,Belgaum,Telangana,India,User Logout,0
554,680.0,2026-06-10 22:08:25,,Failed,OTP,144.87.37.253,Ghaziabad,3,,Buxar,Haryana,India,,0
