merchant_code,merchant_name,merchant_category,merchant_type,contact_number,merchant_email,gst_number,building_no,street,city,state,pincode,country,merchant_status,created_at,risk_level
MER00001,Ramachandran PLC,Restaurant,Individual,8976878171,ramachandranplc1@merchant.com,245646436891ZS,56,Singhal Nagar,Vijayanagaram,Nagaland,424427,India,Active,2020-01-28,Low
MER00002,Suri and Sons,Restaurant,Business,8716073649,suriandsons2@merchant.com,468291061591ZC,289,Ahuja Nagar,Phusro,Kerala,484566,India,Active,2026-01-18,Low
MER00003,"Nagy, Mitra and Patil",E-commerce,Individual,7242407454,nagymitraandpatil3@merchant.com,995654568061ZT,719,Chakraborty Nagar,Pondicherry,Arunachal Pradesh,313215,India,Active,2023-11-02,Low
MER00004,"Pradhan, Bhavsar and Mital",Utilities,Business,9759981119,pradhanbhavsarandmital4@merchant.com,782316289291ZD,799,Wali Marg,Udupi,Sikkim,470998,India,Active,2020-10-10,Low
MER00005,"Doctor, Nath and Bal",E-commerce,Individual,9177519018,doctornathandbal5@merchant.com,293929404281ZV,493,Mammen Street,Barasat,Uttar Pradesh,314898,India,Active,2018-09-19,Low
MER00006,Dayal-Chaudhry,E-commerce,Business,8120463439,dayal-chaudhry6@merchant.com,136209279421ZX,324,Zachariah Zila,Dhule,Maharashtra,985431,India,Active,2023-11-03,Low
MER00007,Dara and Sons,Fuel,Business,7890298803,daraandsons7@merchant.com,968818767991ZZ,193,Sami Chowk,Bilaspur,Jharkhand,536929,India,Active,2026-07-08,Low
MER00008,"Sridhar, Singhal and Pillai",Retail,Business,8799370211,sridharsinghalandpillai8@merchant.com,265797879261ZW,974,Sharaf Circle,Chinsurah,Haryana,717006,India,Active,2024-07-12,Low
MER00009,Malhotra-Shanker,Retail,Business,7765389111,malhotra-shanker9@merchant.com,828131036101ZI,362,Bora Marg,Akola,Mizoram,921183,India,Active,2024-04-07,Medium
MER00010,Nanda-Shukla,Retail,Business,8271702301,nanda-shukla10@merchant.com,904168175801ZK,190,Muni Path,Agra,Meghalaya,624035,India,Active,2019-11-24,Low
MER00011,Mohan-Mannan,Grocery,Corporate,7230919932,mohan-mannan11@merchant.com,607155893991Z8,109,Brahmbhatt Zila,Ludhiana,Gujarat,271532,India,Active,2023-10-17,Low
MER00012,Murthy-Iyengar,Travel,Business,9989792700,murthy-iyengar12@merchant.com,897231601451ZD,427,Bhavsar Path,Tadipatri,Odisha,119283,India,Active,2022-12-23,Low
MER00013,Joshi Group,Restaurant,Business,8845598850,joshigroup13@merchant.com,547977954661ZN,826,Hans Nagar,Karaikudi,Gujarat,809317,India,Active,2020-12-17,Low
MER00014,"Handa, Mody and Lalla",Entertainment,Corporate,9403297229,handamodyandlalla14@merchant.com,144426235481ZR,457,Gole,Tiruppur,Madhya Pradesh,386584,India,Active,2024-10-14,Low
MER00015,Dua Inc,Restaurant,Business,8325571351,duainc15@merchant.com,232688386091ZA,327,Vora Street,Surendranagar Dudhrej,Odisha,659126,India,Active,2018-10-06,Low
MER00016,Malhotra LLC,Travel,Business,8324146025,malhotrallc16@merchant.com,664715794391Z8,545,Narasimhan Ganj,Amaravati,Gujarat,481438,India,Active,2021-04-13,Medium
MER00017,Apte-Dora,Grocery,Business,7108905655,apte-dora17@merchant.com,913667439711Z6,718,Jaggi Circle,Muzaffarpur,Arunachal Pradesh,374591,India,Active,2019-11-08,Low
MER00018,Gandhi LLC,E-commerce,Business,9377154409,gandhillc18@merchant.com,345162020341Z9,899,Rajagopalan Street,Jhansi,Manipur,030068,India,Active,2019-08-08,Low
MER00019,Bobal PLC,E-commerce,Corporate,9385502198,bobalplc19@merchant.com,386508249151ZL,249,Uppal Path,Howrah,Assam,211049,India,Active,2022-08-20,Low
MER00020,"Chaudry, Mukhopadhyay and Trivedi",E-commerce,Individual,7075668720,chaudrymukhopadhyayandtrivedi20@merchant.com,998269519221ZP,711,Sandhu Street,Bihar Sharif,Jharkhand,022025,India,Active,2026-02-13,Low
MER00021,"Chadha, Bahri and Banerjee",Retail,Individual,9540088724,chadhabahriandbanerjee21@merchant.com,797851253601ZI,799,Panchal Street,Navi Mumbai,Odisha,828601,India,Active,2020-01-20,Medium
MER00022,Sem-Oza,Retail,Business,8733759243,sem-oza22@merchant.com,267721675861ZH,712,Kanda Ganj,Tirupati,Meghalaya,203637,India,Active,2020-02-07,Low
MER00023,"Nigam, Barman and Hegde",Grocery,Corporate,9819753173,nigambarmanandhegde23@merchant.com,349606504121Z2,201,Wable Road,Shimoga,Andhra Pradesh,860245,India,Active,2026-03-11,Low
MER00024,Chacko Group,E-commerce,Business,9237836611,chackogroup24@merchant.com,191326037251Z5,177,Kannan Circle,Hapur,Mizoram,059095,India,Active,2018-11-28,High
MER00025,"Singh, Pall and Mittal",Grocery,Business,8291749296,singhpallandmittal25@merchant.com,235904723271Z2,593,Gour Nagar,Aurangabad,Kerala,826208,India,Active,2021-10-03,Low
MER00026,Balasubramanian LLC,Travel,Corporate,7820339790,balasubramanianllc26@merchant.com,719616619461ZU,92,Sankaran Path,Tezpur,Haryana,552108,India,Active,2023-11-11,Low
MER00027,Prabhu-Goyal,Travel,Business,7073551670,prabhu-goyal27@merchant.com,942926420371ZX,823,Srivastava Path,Surendranagar Dudhrej,Karnataka,499130,India,Active,2018-11-07,Low
