account_id,reference_number,amount,transaction_type,transaction_time,transaction_status,payment_mode,transaction_location,receiver_account_id,merchant_id,device_id,ip_address,is_fraud,remarks,risk_score
1415,TXN202608162C8E3AF00573,227892.91,Debit,2024-04-06 02:57:03,Success,UPI,Jaipur,,61.0,1098.0,53.196.223.161,1,Multiple failed attempts,81
146,TXN20260816FEEE150B810D,146054.6,Credit,2025-07-17 16:12:25,Success,Cheque,Jaipur,,,,,0,Regular customer activity,50
697,TXN2026081636BF645A0DE2,37129.67,Credit,2026-08-06 02:51:40,Failed,NEFT,Varanasi,,284.0,,,0,Regular customer activity,15
380,TXN20260816EAEBD2A947E2,9437.18,Transfer,2025-03-02 02:27:11,Success,UPI,Gurgaon,1421.0,,1474.0,74.159.117.31,0,,30
941,TXN20260816429E44B9B9EE,78349.87,Deposit,2025-12-13 22:59:45,Success,Net Banking,Prayagraj,,,1994.0,216.248.188.116,0,,64
521,TXN20260816881AF164CFA2,201763.94,Deposit,2025-01-02 01:00:28,Success,UPI,Kolkata,,,816.0,133.60.141.122,0,,62
584,TXN20260816690763CC3B58,26568.91,Withdrawal,2024-11-17 22:51:33,Success,UPI,Kanpur,,,1322.0,1.67.126.173,0,,17
568,TXN2026081650593474743C,208328.21,Debit,2026-08-07 13:31:33,Success,Card,Chennai,,293.0,1875.0,107.149.237.4,0,Transaction completed successfully,46
824,TXN202608169BECFE399460,153823.58,Transfer,2024-06-04 21:31:47,Success,Net Banking,Gurgaon,275.0,,183.0,42.14.48.83,0,Transaction completed successfully,53
165,TXN2026081698F0FA238FE8,211615.9,Credit,2025-06-29 18:35:34,Success,UPI,Mumbai,,286.0,344.0,32.112.210.92,0,Normal transaction,68
408,TXN20260816A3774D4BF0B9,231688.27,Deposit,2025-08-10 01:17:50,Success,NEFT,Jaipur,,,,,0,,52
929,TXN2026081645E2F242A2FC,17176.5,Debit,2024-05-21 03:28:41,Success,IMPS,Varanasi,,70.0,79.0,59.206.242.120,0,Normal transaction,23
1349,TXN20260816391AF701CD1E,184508.0,Transfer,2025-11-26 12:15:05,Success,Net Banking,Prayagraj,161.0,,14.0,173.16.121.39,0,Regular customer activity,6
1395,TXN202608161FD2577D07B2,121471.87,Refund,2025-03-04 01:39:28,Success,UPI,Gurgaon,,134.0,,,0,Regular customer activity,49
1333,TXN20260816087D75BA11B4,170990.31,Deposit,2024-11-13 20:28:54,Success,RTGS,Pune,,,,,0,Normal transaction,28
83,TXN202608166F9EEF1F8AB7,78154.37,Credit,2024-06-06 12:09:56,Failed,UPI,Gurgaon,,98.0,596.0,87.166.255.233,0,Regular customer activity,7
191,TXN20260816E2280A706EAC,22450.94,Withdrawal,2025-04-07 19:46:48,Success,Card,Gurgaon,,,1375.0,106.227.5.191,0,Transaction completed successfully,42
1118,TXN20260816540664DDC480,222015.63,Refund,2025-09-06 16:40:14,Success,UPI,Mumbai,,114.0,,,0,Normal transaction,11
484,TXN202608161BC8F00BDB7F,52395.62,Credit,2024-10-09 16:54:49,Success,NEFT,Hyderabad,,145.0,,,0,,68
1116,TXN20260816AECE97D3F0AA,57596.93,Transfer,2025-07-18 01:25:17,Success,UPI,Kanpur,595.0,,,,0,,24
826,TXN202608166D56C921B9F6,93900.27,Debit,2026-07-06 23:10:22,Success,Net Banking,Chennai,,,726.0,201.225.241.100,0,Regular customer activity,25
640,TXN202608167C570F85F558,21594.64,Transfer,2025-08-11 19:11:30,Success,IMPS,Ahmedabad,160.0,,1314.0,42.196.63.207,0,,48
839,TXN20260816080DFC0ED96E,182516.7,Credit,2024-07-24 03:33:40,Success,IMPS,Bangalore,,269.0,96.0,117.218.106.202,0,Transaction completed successfully,59
1373,TXN2026081631B6123B4CE6,247804.07,Debit,2024-10-19 14:13:52,Success,UPI,Ahmedabad,,,390.0,217.105.216.48,0,Transaction completed successfully,50
159,TXN20260816214B08A321B0,24669.09,Debit,2024-03-31 04:03:35,Failed,NEFT,Delhi,,,,,0,,14
711,TXN20260816CA218600EB7E,193549.51,Withdrawal,2026-03-04 09:04:17,Success,Net Banking,Kanpur,,,82.0,115.158.144.156,0,,15
1104,TXN2026081660DB253EE8F6,26315.93,Debit,2025-05-06 11:25:42,Success,IMPS,Mumbai,,242.0,543.0,139.184.20.6,0,,37
1428,TXN20260816D903B88DA822,233363.27,Transfer,2026-01-19 10:53:54,Success,UPI,Pune,368.0,,,,0,Normal transaction,31
501,TXN20260816F30341599D76,168223.42,Debit,2024-06-30 16:41:45,Reversed,UPI,Ahmedabad,,,558.0,155.139.94.114,0,,12
853,TXN20260816A5CA04050610,26458.48,Debit,2025-03-24 08:03:04,Success,Cash,Noida,,29.0,,,0,Regular customer activity,57
1297,TXN202608166ADF301BB3F6,55589.74,Credit,2026-07-03 10:37:36,Failed,IMPS,Gurgaon,,,1265.0,198.105.109.136,0,Regular customer activity,48
